Licensee Name,License Number,Licence Status,Email,Phone,WhatsApp,Skype ID,Domain Names,Full Address,Game Types
Heimdall Technology Limited,MGA/B2B/672/2019,Licensed,info@gamesinc.co.uk,01217790914,01217790914,,,"Ewropa Business Centre, Level 3 - 701, Dun Karm Street,, Birkirkara, Bkr 9034, Malta",Type 1 Gaming Service
Helio Gaming Limited,MGA/B2B/719/2019,Licensed,info@heliogaming.com,20925800,20925800,,,"Level 2, Quantum House, 75 Abate Rigord Street,, Ta' Xbiex, Xbx 1120, Malta",Type 1 Gaming Service
Hero Gaming Limited,MGA/CRP/253/2013,Surrendered,info@herogaming.com,,,,Http://Www.Simplecasino.Com,"26 The Forum Office Triq L-Uqija, Ibragg, Swieqi, Swq 2335, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Hgmt Limited,MGA/CRP/501/2018,Licensed,compliance@hacksawgaming.com,21460200,21460200,,Http://Www.Hacksawgaming.Com,"Floor 1, Suite 3, Central Business Centre Mdina Road, Zebbug, Zbg9015, Malta",Type 1 Gaming Service
High 5 Games (Malta) Limited,MGA/B2C/465/2018,Surrendered,regulatory@high5games.com,00356 2131 3060,00356 2131 3060,,Https://Www.High5Casino.Com/,"Elite Business Centre, Trejqa Ta' Box Box,, Msida, Msd 1840, Malta",Type 1 Gaming Service
High5Games B2B (Malta) Ltd,MGA/B2B/545/2018,Surrendered,Invalid Email,,,,,"Elite Business Centre Trejqa Ta' Box Box, Msida, Msd 1840, Malta",Type 1 Gaming Service
Hillside (Gaming) Enc,MGA/B2C/532/2018,Surrendered,Invalid Email,,,,Http://Www.Bet365.Com,"Office 1/2373, Level G, Quantum House 75 Abate Rigord Street, Ta' Xbiex, Xbx 1120, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Hillside (International Gaming) Enc,MGA/B2C/736/2019,Surrendered,legalnotices@bet365.com,,,,,"Office 1/2373, Level G, Quantum House 75 Abate Rigord Street, Ta'Xbiex, Xbx 1120, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Hillside (International Sports) Enc,MGA/B2C/735/2019,Surrendered,legalnotices@bet365.com,,,,,"Office 1/2373, Level G, Quantum House 75 Abate Rigord Street, Ta'Xbiex, Xbx 1120, Malta",Type 2 Gaming Service
Hillside (New Media Malta) Plc,MGA/B2C/297/2015,Licensed,support-eng@customerservices365.com,+44 (0) 1782 684757,+44 (0) 1782 684757,,,"Office 1/2373, Level G, Quantum House, 75 Abate Rigord Street, Ta Xbiex, Xbx1120, Malta",Type 2 Gaming Service
Hillside (Sports) Enc,MGA/CRP/531/2018,Licensed,support-eng@customerservices365.com,,,,Http://Www.Bet365.Com,"Office 1/2373, Level G, Quantum House, 75, Abate Rigord Street,, Ta' Xbiex, Xbx 1120, Malta","Type 1 Gaming Service, Type 3 Gaming Service, Type 4 Gaming Service, Type 2 Gaming Service"
Hölle Games Gmbh,MGA/B2B/873/2021,Licensed,info@hoelle.games,17664952369,17664952369,,"Https://Www.Hölle.Games, Https://Www.Hinterzimmer.Io","Hölle Games Gmbh C/O Ami Steuerberatungsgesellschaft Gmbh, Kurfürstendamm 193 B, Berlin, 10707, Germany",Type 1 Gaming Service
Home Gaming Entertainment Limited,MGA/B2C/391/2017,Surrendered,compliance@hge.com.mt,27780277,27780277,,"Https://Www.Winfest.Com, Https://Www.Winfest.De/, Http://Www.Winfest.De/","Number 2 Geraldu Farrugia Street, Zebbug, Zbg 4351, Malta",Type 1 Gaming Service
Honeypot Lotto Limited,MGA/B2C/526/2018,Surrendered,Invalid Email,,,,Http://Www.Honeypotlotto.Com,"37 Triq L-Imghazel, Swieqi, Swq3141, Malta",Type 3 Gaming Service
Hpg Interactive Malta Limited,MGA/B2C/240/2013,Expired,info@hpg-interactivemalta.com,,,,,"No.2, Geraldu Farrugia Street,, Zebbug, Zbg4351, Malta",Type 1 Gaming Service
Hub88 Limited,MGA/B2B/536/2018,Licensed,legal@hub88.io,21345009,21345009,,Http://Www.Hub88.Io,"Nouv, Triq Mro Frank Galea, Zebbug, Zbg9019, Malta",Type 1 Gaming Service
Iba Casino Limited,MGA/B2C/175/2009,Surrendered,Invalid Email,,,,Https://Www.Bet3000.Com,"Cornerstone Business Centre, Level 1, Office B, 16Th September Square,, Mosta, Mst 1180, Malta",Type 1 Gaming Service
Iba Entertainment Limited,MGA/B2C/174/2009,Licensed,office@iba-entertainment.com,+356 23457000,+356 23457000,,Https://Www.Onextwo.Com,"Cornerstone Business Centre, Level 1, Office B 16Th September Square, Mosta, Mst 1180, Malta",Type 2 Gaming Service
Ice Elite Limited,MGA/B2B/306/2015,Licensed,info@gaming1.com,+35621808800,+35621808800,,,"The Crickets, St Augustine Street,, Swieqi, Swq 3312, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Iforium (Malta) Limited,MGA/B2B/633/2018,Licensed,info@iforium.com,,,,,"Level 3 (Suite No. 2256) Tower Business Center, Tower Street, Swatar, Birkirkara, Bkr4013, Malta",Type 1 Gaming Service
Igame Malta Limited,MGA/B2C/166/2008,Surrendered,management@igame.com,21336266,21336266,,,"St. Julians Business Centre Office 3, Level 3 Elia Zammit Street, St Julians, Stj 3153, Malta",
Igaming Tech Limited,MGA/B2B/269/2014,Cancelled,Invalid Email,,,,,"Schemson House 2Nd Floor Valley Road, Birkirkara, , Malta",
Igamingcloud Limited,MGA/CRP/330/2016,Licensed,info@gig.com,79298411,79298411,,,"@Gig Beach, Triq Id-Dragunara,, St. Julians, Stj 3148, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Igt Europe Gaming Bv,MGA/CRP/359/2017,Licensed,adrian.vella@igt.com,79980330,79980330,,,"Galwin 2, Amsterdam, Amsterdam, 1046Aw,, Netherlands",Type 1 Gaming Service
Igt Global Services Limited,MGA/B2B/949/2022,Licensed,Invalid Email,,,,,"27, Gregory Afxentiou Avenue 6021 Larnaca, Cyprus, Larnaca, 6021, Cyprus",Type 1 Gaming Service
Igt Malta Casino Limited,MGA/CRP/168/2007,Licensed,adrian.vella@igt.com,+356 79980330,+356 79980330,,,"Level 0, Suite 1009, Malta Marriott Hotel & Spa 39 Main Street, Balluta Bay, St. Julians, Stj 1017, Malta",Type 1 Gaming Service
Infinityplay Limited,MGA/B2C/208/2011,Surrendered,bianci.veeren@yahoo.com,,,,,"Office 1, Birds Of Paradise, Triq Il-Hagar,, Mosta, Mst2551, Malta",Type 2 Gaming Service
Infiniza Limited,MGA/B2C/367/2016,Licensed,info@infiniza.com,+356 21383931,+356 21383931,,"Https://Www.Amokcasino.Com, Https://Www.Mountgold.Com/, Https://Slothype.Com, Https://Niftycasino.Com, Https://Www.Goldroll.Com/, Https://Www.Unlimitcasino.Com/, Https://Www.Gemler.Com, Https://Www.Nitrowin.Com, Https://Www.Razorspin.Com, Https://Www.Winzie.Com, Https://Www.Spinero.Com, Https://Www.Slotable.Com, Https://Www.Luckyjungle.Com, Https://Www.Monsino.Com, Http://Refuelcasino.Com, Https://Www.Overloadcasino.Com/","Bastions Office No. 2 Emvin Cremona Street, Floriana, Frn1281, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Inspired Entertainment (Malta) Limited,MGA/B2B/784/2020,Licensed,Invalid Email,,,,,"Level 3, Suite 2685, Tower Business Centre Tower Street,, Swatar, Birkirkara, Bkr 4013, Malta",Type 1 Gaming Service
Interstorm (Malta) Limited,MGA/B2C/328/2016,Surrendered,Invalid Email,+35621319493,+35621319493,,Http://Www.Playshangrila.Com,"122, Andrea Debono Street , Naxxar, Nxr 4030, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Interwetten Gaming Limited,MGA/B2C/110/2004,Licensed,office@interwetten.com,35623276000,35623276000,,"Https://Www.Interwetten16.Com, Http://Www.Interwetten.Com, Http://Www.Iwcasino.Com","The Centre, North Shore Ground Level, Tigne' Point, Tpo001, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Interwetten International Limited,MGA/B2C/301/2015,Licensed,office@interwetten.com,23276000,23276000,,"Https://Www.Interwetten16.Com, Http://Www.Interwetten.Com, Http://Www.Iwcasino.Com","The Centre, North Shore Ground Level, Tigne' Point, Tpo 001, Malta",Type 1 Gaming Service
Isb Magma Limited,MGA/B2B/624/2018,Licensed,sales@isoftbet.com,25496000,25496000,,,"35 Straight Street, Valletta, Vlt 1434, Malta",Type 1 Gaming Service
Izi Interactive Limited,MGA/B2C/345/2016,Licensed,csonline@izigroup.com,,,,"Https://Dragonara.Com, Https://Lottery.Mt","The Quad Central Q3 Level 11, Triq L-Esportaturi, Zone 1,, Birkirkara, Cbd 1040, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Izi Services Limited,MGA/B2B/1054/2024,Licensed,legal@izigroup.com,26007000,26007000,,,"The Quad Central Q3 L Evel 11 Triq L-Esportaturi Zone 1 Central Business District, Birkirkara, Cbd 1040, Malta",Type 3 Gaming Service
Join Games Malta Limited,MGA/B2B/321/2016,Cancelled,marketing@joingames.net,+35679284183,+35679284183,,,"2C, 1St Floor, Forni Complex Valletta Waterfront, Floriana, Frn 1913, Malta",Type 1 Gaming Service
Kaizen Gaming International Limited,MGA/CRP/810/2020,Licensed,Invalid Email,,,,"Https://Brasil.Betano.Com, Http://Br.Betano.Com/, Http://Pe.Betano.Com/, Http://Ca.Betano.Com/, Https://Betano.Pe, Http://Ec.Betano.Com/, Https://Lat.Betano.Com, Http://Www.Betano.Com","Flat B8, The Atrium, West Street, Msida, Msd1731, Malta",Type 2 Gaming Service
Kaizen Gaming International Limited,MGA/CRP/152/2007,Licensed,Invalid Email,,,,"Https://Brasil.Betano.Com, Https://Betano.Pe, Http://Ca.Betano.Com/, Http://Pe.Betano.Com/","Flat B8, The Atrium, West Street, Msida, Msd1731, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 4 Gaming Service"
Kalamba Games Limited,MGA/B2B/861/2020,Licensed,legal@kalambagames.com,21345009,21345009,,,"Nouv, Triq Mro Frank Galea,, Zebbug,, Zbg 9019, Malta",Type 1 Gaming Service
Kambi Malta Limited,MGA/CRP/185/2010,Licensed,info@kambi.com,+35621315514,+35621315514,,,"Level 3, Quantum House Triq L- Abate Rigord, Ta Xbiex, Xbx 1127, Malta",Type 2 Gaming Service
Kanon Gaming Limited,MGA/B2C/227/2012,Surrendered,ceo@kanongaming.com,27040626,27040626,,Https://Www.Casinoepic.Com,"Kanon Gaming Limited, The Penthouse, Jpr Buildings, Triq Taz-Zwejt, San Gwann, Sgn3000, Malta",Type 1 Gaming Service
Keep Limited,MGA/CRP/217/2012,Licensed,Invalid Email,,,,Http://Www.Casumo.De,"Unicorn Centre Triq L-Uqija, Swieqi, Swq 2335, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Kindred Ip Limited,MGA/B2B/1022/2023,Licensed,regulatorycompliancemalta@kindredgroup.com,27780843,27780843,,Https://Www.Unibet.Com,"Level 6, The Centre Tigne Point, Sliema, Tpo 0001, Malta",Type 2 Gaming Service
Kinesis Live Ltd,MGA/B2B/907/2021,Licensed,Invalid Email,99441881,99441881,,,"64, Excalibur B.Bontadini Street, Birkirkara, Bkr1747, Malta",Type 1 Gaming Service
Knockout Gaming Limited,MGA/B2C/412/2017,Cancelled,Invalid Email,,,,,"Citybel St.Martha Street, Victoria (Gozo), , Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Kserol P.L.C.,MGA/B2C/1031/2023,Licensed,regulatorycompliancemalta@kindredgroup.com,27780843,27780843,,"Https://Www.Ottokasino.Com, Https://Www.Casinohuone.Com/, Https://Www.Kolikkopelit.Com/, Https://Fi.Bingo.Com, Https://Fi.Mariacasino.Com, Https://Fi.Unibet.Com","Level 6, The Centre Tigne Point, Sliema, Tpo 0001, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Kulumsoft Limited,MGA/B2C/658/2018,Licensed,info@bet99.com,99790650,99790650,,,"96 Cospicua Road Cospicua Road, Paola, Pla 1902, Malta",Type 2 Gaming Service
L&L Europe Limited,MGA/B2C/211/2011,Licensed,info@landleurope.eu,+356 2704 1143,+356 2704 1143,,"Http://Www.Nobonuscasino.Com, Http://Www.Allbritishcasino.Com, Http://Www.Casinocasino.Com, Http://Www.Yakocasino.Com, Http://Www.Yeticasino.Com, Http://Www.Funcasino.Com, Http://Www.Hypercasino.Com, Http://Www.Racecasino.Com, Https://Pubcasino.Co.Uk","North Field Apts, Flat 7 Independence Avenue Street, Mosta, Mst 9026, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
L.C.S Limited,MGA/B2C/233/2013,Licensed,info@lcsltdeu.com,7986 2287,7986 2287,,"Https://Dazzlehand.Com, Https://Scibet.Io, Https://Nordscasino.Com/, Https://21.Red, Https://Bonusbet.Com, Https://Betstro.Com, Https://Betsamigo.Com, Https://Www.Nucleonbet.Com, Http://Www.Lapilanders.Com, Http://Www.Wallacebet.Com, Http://Www.Sven-Play.Com, Http://Www.Sons-Of-Slots.Com, Https://Www.Sonsofslots.Com, Https://Betnflix.Com, Https://Svenplay.Com, Http://Www.Onestepcasino.Com, Https://Yugibet.Com/, Https://Foggybet.Com, Https://Scarabet.Io/, Https://Riseofbets.Com/, Https://Slotshammer.Com, Https://Chalkwins.Com","Office 3, Level 2, Sterling Building Enrico Mizzi Street,, Ta' Xbiex, Xbx 1453, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
L7 Entertainment Limited,MGA/B2C/822/2020,Licensed,Invalid Email,,,,Https://Www.Luckydays.Com,"Mirax Court, Block C, Office 3 Birkirkara Hill, St. Julian'S, Stj 1149, Malta",Type 1 Gaming Service
Leap Limited,MGA/B2B/747/2019,Licensed,Info@leap-gaming.com,77051981,77051981,,,"Desk 1, Nr. 11, L- Ufficcji Misrah 28 Ta’ Frar 1883, Birkirkara, Bkr1501, Malta",Type 1 Gaming Service
Legolas Invest Limited,MGA/B2C/341/2016,Surrendered,support.en@legolas.bet,,,,,"Level 3, (Suite No. 1643), Tower Business Centre Tower Street, Swatar, Birkirkara, Bkr 4013, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Leopold Gaming Limited,MGA/B2C/395/2017,Surrendered,Invalid Email,,,,,"Vincenti Buildings, 28/19, Suite 184 Strait Street, Valletta, , Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Leovegas Gaming Plc,MGA/CRP/237/2013,Licensed,Invalid Email,,,,"Https://Www.Gogocasino.Com, Https://Www.Leovegas.Com, Https://Www.Royalpanda.Com, Https://Www.Expekt.Com/","Level 7 Plaza Business Centre Bisazza Street, Sliema, Slm 1640, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Level Up Interactive Limited,MGA/B2C/275/2014,Licensed,vasilis.kounnos@winmasters.com,27577000,27577000,,,"170, Pater House, Level 1 (Suite A174) Psaila Street, Birkirkara, Bkr 9077, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Lg Trading Limited,MGA/B2C/520/2018,Surrendered,Invalid Email,,,,"Http://Www.Eaglebet.De, Http://Www.Eaglebet.Com, Http://Www.Betgold.Com","Elite Business Centre, Trejqa Ta' Box Box,, Msida, Msd 1840, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
Liger Entertainment Limited,MGA/B2C/245/2013,Cancelled,Invalid Email,,,,,"Level G, (Office 1/3858), Quantum House 75, Abate Rigord Street, Ta' Xbiex, Xbx1120, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Ligtip Limited,MGA/B2C/648/2018,Surrendered,office@ligtip.com,,,,,"Valletta Buildings Second Floor Suite 7 South Street, Valletta, Vlt1103, Malta",Type 2 Gaming Service
Liinoo Invest Europe Limited,MGA/B2C/291/2015,Suspended,info@liinoo-invest.com,,,,Http://Www.Boombang.Vip,"Level 3 (Suite No.2461) Tower Business Centre, Tower Street, Swatar, B'Kara, Bkr 4013, Malta",Type 1 Gaming Service
Liveg24 Ltd,MGA/B2B/153/2007,Licensed,info@liveg24.com,21375594,21375594,,Http://Www.Liveg24.Com,"57/60 Luigi Manuel Galea Street, Qormi - Handaq, Qrm4000, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Lnw Gaming Malta Limited,MGA/B2B/112/2004,Licensed,iGamingAP@lnw.com,7025327700,7025327700,,,"Level 3, Suite No. 1685 Tower Business Centre, Tower Street, Swatar Bkr, 4013, Malta",Type 1 Gaming Service
Logflex Mt Limited,MGA/CRP/186/2010,Licensed,compliance@novibet.com,27577000,27577000,,"Https://Fi.Novibet.Com, Https://Ca.Novibet.Com, Http://Www.Novibet.Com, Https://Br.Novibet.Com, Https://Cl.Novibet.Com, Https://Www.Ec.Novibet.Com/, Https://Nz.Novibet.Com, Https://Novibet.Ie","Mwh Building, Office N. 1, Oratory Street, Naxxar, Nxr 2504, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Lopoca Gaming Limited,MGA/B2C/192/2010,Licensed,support@lopoca.com,+35621447779,+35621447779,,,"Level 4 Pendergardens Business Centre 44 St Andrews Road, St Julians, Stj 9023, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Lopoca Holding Limited,MGA/B2B/800/2020,Licensed,support@lopoca.com,,,,,"Level G, (Office 1/2238), Quantum House 75, Abate Rigord Street,, Ta ‘ Xbiex, Xbx 1120, Malta",Type 3 Gaming Service
Lottery Live Limited,MGA/CRP/756/2019,Licensed,info@lottery.live,,,,,"Mannarino Road 35, Birkirkara, Bkr 9080, Malta",Type 1 Gaming Service
Lotto Direct Limited,MGA/CRP/402/2017,Licensed,compliance@lotto-direct.com,,,,"Http://Www.Lottosimple.Com, Https://Www.Thelotter.Com, Https://Www.Thelotter.Net, Http://Www.Total-Luck.Com, Https://Www.Granloto.Com","Vision Exchange Building, Level 1 Triq It-Territorjals, Central Business District,, Birkirkara, Cbd 1070, Malta","Type 1 Gaming Service, Type 3 Gaming Service"
Lotto Warehouse Ltd,MGA/B2B/351/2016,Surrendered,Invalid Email,,,,,"1St Floor Suite 3, Central Business Centre Mdina Road, Zebbug, Zbg 9015, Malta",Type 1 Gaming Service
Lottomatrix Operations Limited,MGA/B2C/362/2016,Licensed,Invalid Email,,,,Https://Lotto.Jackpot.Com,"Level 3 (Suite 1969), Tower Business Centre, Tower Street, Swatar, Birkirkara, Bkr 4013, Malta",Type 1 Gaming Service
Lottostarlet Limited,MGA/B2C/392/2017,Surrendered,customer@lottostar24.com,00356 21372462,00356 21372462,,"Http://Loteriana.Com, Http://Www.Lottostar24.Com","Nm Group, Triq L-Uqija, Swieqi, Swq 2332, Malta",Type 1 Gaming Service
Luckia Entertainment Limited,MGA/B2C/580/2018 ,Surrendered,regulatory@luckia.com,21241817,21241817,,Http://Luckia.Com,"85 St. John Street, Valletta, Vlt 1165, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Luckia Entertainment Limited,MGA/B2C/580/2018 ,Surrendered,regulatory@luckia.com,21241817,21241817,,Http://Luckia.Com,"85 St. John Street, Valletta, Vlt 1165, Malta",
Lucky Dino Gaming Limited,MGA/CRP/296/2015,Surrendered,nicola.magro@gmail.com,+35679826291,+35679826291,,,"Office 33, Regent House 8 Bisazza Street, Sliema, Slm 1640, Malta",Type 1 Gaming Service
Lucky One Limited,MGA/B2C/426/2017,Surrendered,Invalid Email,,,,,"No 8, Valley Towers Valley Road, , Birkirkara, Bkr9022, Malta",Type 2 Gaming Service
Lucky Stream Limited,MGA/B2C/154/2007,Licensed,support-gre@customerservices365.com,+441782 684 633,+441782 684 633,,,"Office 1/2373, Level G, Quantum House 75, Abate Rigord Street, Ta' Xbiex, Xbx1120, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Luckystar Entertainment Limited,MGA/B2C/267/2014,Surrendered,beppe@noelmuscat.com,21372462,21372462,,,"Noel Muscat & Co., Triq L-Imghazel, Swieqi, Sqw 3141, Malta",Type 1 Gaming Service
Lux Entertainment Limited,MGA/B2C/400/2017,Surrendered,info@eskimocasino.com,,,,Https://Www.Turbocasino.Com,"26 Ghar Id-Dud Street, Sliema, Slm1573, Malta",Type 1 Gaming Service
Macrobet Limited,MGA/B2C/703/2019,Surrendered,support@macrobet.com,,,,Http://Www.Macrobet.Com,"Vault 14, Level 2 Valletta Waterfront, Floriana, Frn 1914, Malta",Type 3 Gaming Service
Magic Eight Limited,MGA/B2C/413/2017,Surrendered,info@pan88.com,+35621637778,+35621637778,,,"Suite 2, Office 2, The Penthouse, Capital Business Centre, Entrance C Triq Taz-Zwejt, San Gwann, Sgn 3000, Malta",Type 1 Gaming Service
Magic Services Limited,MGA/B2C/149/2007,Cancelled,support@bet8.gr,2757 7000,2757 7000,,,"170, Pater House Level 1 (Suite A96), Psaila Street, Birkirkara, Bkr 1293, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Maltco Lotteries,MGA/NL/2/2012,Surrendered,info@maltco.net,23883333,23883333,,Https://Online.Maltco.Com/,"Level 2, Hall Mann Buildings St Michael Street,, Iklin, Ikl 1011, Malta","Type 2 Gaming Service, Type 1 Gaming Service"
Maltix Limited,MGA/B2C/486/2018,Licensed,office@maltixltd.com,27369050,27369050,,"Http://Www.Campobet.Com, Http://Www.Yoyocasino.Com, Http://Www.Lightcasino.Com, Http://Www.Cadabrus.Com, Http://Www.Winota.Com, Http://Www.Betinia.Com","Quad Central, Q3 Level 3 Triq L-Esportaturi, Zone 1 Central Business District, Birkirkara, Cbd 1040, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Mangas Gaming Malta Limited,MGA/B2C/281/2014,Licensed,cs.escalations.com@betclicgroup.com,+356 22 45 54 33,+356 22 45 54 33,,,"Level 3, Tagliaferro Business Centre High Street, Gaiety Lane, Sliema, Slm 1551, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Mansa Gaming Limited,MGA/B2C/421/2017,Surrendered,Invalid Email,,,,,"""The Firs"", 5Th Floor, Triq Gorg Borg Olivier,, Sliema., Slm 1801, Malta",Type 1 Gaming Service
Marl Morhaine Solutions Limited,MGA/B2B/420/2017,Licensed,support@duolito.com,27028086,27028086,,Https://Www.Psmtec.De,"96 Cospicua Road, Paola, , Malta",Type 1 Gaming Service
Martingale Malta 2 Limited,MGA/B2C/142/2007,Surrendered,secretary@gvcgroup.com,,,,,"Penthouse, Palazzo Business Centre Number 46, St Christopher Street, Valletta, Vlt 1464, Malta",Type 1 Gaming Service
Maxbet Malta Limited,MGA/B2C/319/2016,Cancelled,Invalid Email,,,,,"Tower Gate Place, Tal-Qroqq Street,, Msida, Msd 1703, Malta",Type 1 Gaming Service
Maxent Limited,MGA/B2C/210/2011,Licensed,hello@maxent.com,,,,"Https://Goslotty.Com/En, Http://Ggbet.Com, Https://Www.Vulkanbet.Com/En","No.88 Sir Frederick C. Ponsonby Street, Gzira,, Gzr 1072, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Media Games Malta (Eu) Limited,MGA/B2C/219/2011,Licensed,Invalid Email,,,,,"705 St Joseph High Street, Hamrun, , Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Media Games Malta (Eu) Limited,MGA/B2B/229/2011,Licensed,Invalid Email,,,,,"705 St Joseph High Street, Hamrun, , Malta",Type 1 Gaming Service
Megapixel Entertainment Limited,MGA/B2C/906/2021,Licensed,legal@megapixelltd.com,21319493,21319493,,Http://Www.Wunderino.De,"122, Andrea Debono Street, Naxxar, Nxr4030, Malta",Type 1 Gaming Service
Meridian Gaming Limited,MGA/B2B/712/2019,Licensed,info@cybergamingconsultants.com,21319493,21319493,,Http://Www.Meridianbet.Com,"8, Villa Seminia Sir Temi Zammit Avenue, Ta' Xbiex, Xbx 1011, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Meridian Gaming Limited,MGA/B2C/134/2007,Licensed,info@cybergamingconsultants.com,21319493,21319493,,Http://Www.Meridianbet.Com,"8, Villa Seminia Sir Temi Zammit Avenue, Ta' Xbiex, Xbx 1011, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
M-Hub Gaming C4 Limited,MGA/B2B/308/2015,Cancelled,Invalid Email,,,,,"37 Mannarino Road, Birkirkara, Bkr9080, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
M-Hub Gaming Operations Limited,MGA/B2C/261/2014,Suspended,Invalid Email,,,,,"37 Mannarino Road, Birkirkara, Bkr9080, Malta",Type 2 Gaming Service
Microgaming Europe Limited,MGA/B2B/139/2007,Licensed,Invalid Email,,,,Https://Www.Microgaming.Co.Uk/,"Central North Business Centre, Level 4, Fawwara Lane,, Sliema, Slm 1671, Malta",Type 1 Gaming Service
Microgaming Malta Limited,MGA/B2B/124/2006,Surrendered,Invalid Email,,,,Https://Www.Microgaming.Co.Uk/,"Central North Business Centre, Level 4, Fawwara Lane,, Sliema, Slm 1671, Malta",Type 3 Gaming Service
Milenium Sport Limited,MGA/B2C/415/2016,Surrendered,Invalid Email,,,,,"4 V. Dimech Street, Floriana, Frn 1504, Malta",Type 2 Gaming Service
Mill Of Magic Limited,MGA/CRP/259/2014,Licensed,Invalid Email,,,,,"Unicorn Centre, Triq L-Uqija, Swieqi , Swq2335, Malta",Type 1 Gaming Service
Mind Games Digital Entertainment Limited,MGA/B2C/243/2012,Expired,Invalid Email,,,,,"Suite A Triq Mater Boni Consilii, Paola, Pla 1610, Malta",
Minutelotto Group Ltd,MGA/B2C/528/2018,Surrendered,wen@iplaylabs.com,,,,Http://Www.Minutelotto.Io,"Depiro Point, Block A, Apartment 2 Mons G. Depiro, Sliema, Slm2033, Malta",Type 1 Gaming Service
Mkc Limited,MGA/B2C/761/2019,Cancelled,Invalid Email,,,,Https://Betworld247.Com,"64, Excalibur, B.Bontadini Street, Birkirkara, Bkr 1737, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Ml Entertainment Casino Limited,MGA/CRP/591/2018,Licensed,finance@megarush.com,7931279046,7931279046,,Http://Www.Megarush.Com,"Central Business Center, Room1 Level1, Suite 2, Triq Limdina, Zebbug, Zbg 9015, Malta",Type 1 Gaming Service
Mobile Incorporated Limited,MGA/B2C/818/2020,Licensed,sales@mobinc.com,00000000,00000000,,"Https://Kingpalace.Com/, Https://Jackwin.Com, Https://Fairbet.Bet, Https://Betnroll.Com, Http://Www.Conquestador.Com","Elite Business Centre Trejqa Ta’ Box Box, Msida , Msd1840, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Mobilt Limited,MGA/B2C/491/2018,Surrendered,info@mobilt.io,+356 99901505,+356 99901505,,"Https://Www.Kto.Com, Http://Www.Kto.Bet","49, Triq Il Bies, , San Gwann, Sgn1929, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Morpheus Games (Mt),MGA/B2C/383/2017,Cancelled,Invalid Email,,,,,"Level G, Office 1/3758, Quantum House 75 Abate Rigord Street, Ta Xbiex, Xbx1120, Malta",Type 3 Gaming Service
Mozzartbet Malta Limited,MGA/B2C/606/2018,Licensed,Invalid Email,,,,"Https://Www.Mozzart.Com, Https://Www.Mozzart.Bet","Office 2D, Soho St. Julians, Punchbowl Centre, Elia Zammit Street,, St. Julians, Stj3154, Malta","Type 1 Gaming Service, Type 2 Gaming Service"
Mr Green Limited,MGA/CRP/121/2006,Licensed,external.data.request@mrgreen.com,+441765522017,+441765522017,,,"Level 7, Tagliaferro Business Centre 14 High Street, Sliema, Slm 1549, Malta","Type 1 Gaming Service, Type 2 Gaming Service, Type 3 Gaming Service"
Mt Realtime Live Ltd,MGA/CRP/953/2022,Licensed,business@onairentertainment.com,21332100,21332100,,,"The Unicorn Centre, Level 1 Triq Il Uqija, Swieqi, Swq2335, Malta",Type 1 Gaming Service
